Model,Incomplete,Step,Time,Prob0,Results0,Prob1,Results1,Prob2,Results2,Label
goal1_sas_plan.4,0.1,1,0.04796576499938965,"[0.00403393 0.00942494 0.01937288 0.01335633 0.00544147 0.01409835
 0.00209443 0.00921006 0.00855119]",goal0,"[0.00403393 0.00942494 0.01937288 0.01335633 0.00544147 0.01409835
 0.00209443 0.00921006 0.00855119]",goal2,"[0.00530145 0.02270838 0.03380768 0.02145376 0.00292551 0.00097517
 0.         0.         0.        ]",goal2,goal1
goal1_sas_plan.5,0.1,1,0.03997325897216797,"[0.00226677 0.00873171 0.01794795 0.01237393 0.00504123 0.01306138
 0.00194038 0.01806324 0.01677103]",goal7,"[0.00226677 0.00873171 0.01794795 0.01237393 0.00504123 0.01306138
 0.00194038 0.01806324 0.01677103]",goal7,"[0.         0.00517931 0.02932022 0.01957264 0.01386396 0.02365028
 0.         0.01773421 0.02617876]",goal2,goal1
goal1_sas_plan.6,0.1,1,0.03997325897216797,"[0.00403393 0.00942494 0.01937288 0.01335633 0.00544147 0.01409835
 0.00209443 0.00921006 0.00855119]",goal0,"[0.00403393 0.00942494 0.01937288 0.01335633 0.00544147 0.01409835
 0.00209443 0.00921006 0.00855119]",goal2,"[0.00530145 0.02270838 0.03380768 0.02145376 0.00292551 0.00097517
 0.         0.         0.        ]",goal2,goal1
goal1_sas_plan.7,0.1,1,0.023983478546142578,"[0.00403393 0.00942494 0.01937288 0.01335633 0.00544147 0.01409835
 0.00209443 0.00921006 0.00855119]",goal0,"[0.00403393 0.00942494 0.01937288 0.01335633 0.00544147 0.01409835
 0.00209443 0.00921006 0.00855119]",goal2,"[0.00530145 0.02270838 0.03380768 0.02145376 0.00292551 0.00097517
 0.         0.         0.        ]",goal2,goal1
goal1_sas_plan.8,0.1,1,0.03997206687927246,"[0.00403393 0.00942494 0.01937288 0.01335633 0.00544147 0.01409835
 0.00209443 0.00921006 0.00855119]",goal0,"[0.00403393 0.00942494 0.01937288 0.01335633 0.00544147 0.01409835
 0.00209443 0.00921006 0.00855119]",goal2,"[0.00530145 0.02270838 0.03380768 0.02145376 0.00292551 0.00097517
 0.         0.         0.        ]",goal2,goal1
goal1_sas_plan.9,0.1,1,0.04796624183654785,"[0.00226677 0.00873171 0.01794795 0.01237393 0.00504123 0.01306138
 0.00194038 0.01806324 0.01677103]",goal7,"[0.00226677 0.00873171 0.01794795 0.01237393 0.00504123 0.01306138
 0.00194038 0.01806324 0.01677103]",goal7,"[0.         0.00517931 0.02932022 0.01957264 0.01386396 0.02365028
 0.         0.01773421 0.02617876]",goal2,goal1
goal2_sas_plan.0,0.1,1,0.03197884559631348,"[0.00403393 0.00942494 0.01937288 0.01335633 0.00544147 0.01409835
 0.00209443 0.00921006 0.00855119]",goal0,"[0.00403393 0.00942494 0.01937288 0.01335633 0.00544147 0.01409835
 0.00209443 0.00921006 0.00855119]",goal2,"[0.00530145 0.02270838 0.03380768 0.02145376 0.00292551 0.00097517
 0.         0.         0.        ]",goal2,goal2
goal2_sas_plan.1,0.1,1,0.03997349739074707,"[0.00226677 0.00873171 0.01794795 0.01237393 0.00504123 0.01306138
 0.00194038 0.01806324 0.01677103]",goal7,"[0.00226677 0.00873171 0.01794795 0.01237393 0.00504123 0.01306138
 0.00194038 0.01806324 0.01677103]",goal7,"[0.         0.00517931 0.02932022 0.01957264 0.01386396 0.02365028
 0.         0.01773421 0.02617876]",goal2,goal2
goal2_sas_plan.10,0.1,1,0.02398371696472168,"[0.00403393 0.00942494 0.01937288 0.01335633 0.00544147 0.01409835
 0.00209443 0.00921006 0.00855119]",goal0,"[0.00403393 0.00942494 0.01937288 0.01335633 0.00544147 0.01409835
 0.00209443 0.00921006 0.00855119]",goal2,"[0.00530145 0.02270838 0.03380768 0.02145376 0.00292551 0.00097517
 0.         0.         0.        ]",goal2,goal2
goal2_sas_plan.11,0.1,1,0.03997349739074707,"[0.00403393 0.00942494 0.01937288 0.01335633 0.00544147 0.01409835
 0.00209443 0.00921006 0.00855119]",goal0,"[0.00403393 0.00942494 0.01937288 0.01335633 0.00544147 0.01409835
 0.00209443 0.00921006 0.00855119]",goal2,"[0.00530145 0.02270838 0.03380768 0.02145376 0.00292551 0.00097517
 0.         0.         0.        ]",goal2,goal2
goal2_sas_plan.12,0.1,1,0.023982763290405273,"[0.00403393 0.00942494 0.01937288 0.01335633 0.00544147 0.01409835
 0.00209443 0.00921006 0.00855119]",goal0,"[0.00403393 0.00942494 0.01937288 0.01335633 0.00544147 0.01409835
 0.00209443 0.00921006 0.00855119]",goal2,"[0.00530145 0.02270838 0.03380768 0.02145376 0.00292551 0.00097517
 0.         0.         0.        ]",goal2,goal2
goal2_sas_plan.13,0.1,1,0.03197932243347168,"[0.00452567 0.01057386 0.01692692 0.01167001 0.00370279 0.00747154
 0.00234975 0.01033278 0.00959359]",goal0,"[0.00452567 0.01057386 0.01692692 0.01167001 0.00370279 0.00747154
 0.00234975 0.01033278 0.00959359]",goal2,"[0.01439085 0.01120767 0.00794134 0.00515397 0.         0.
 0.         0.         0.        ]",goal0,goal2
goal2_sas_plan.14,0.1,1,0.05596208572387695,"[0.00226677 0.00873171 0.01794795 0.01237393 0.00504123 0.01306138
 0.00194038 0.01806324 0.01677103]",goal7,"[0.00226677 0.00873171 0.01794795 0.01237393 0.00504123 0.01306138
 0.00194038 0.01806324 0.01677103]",goal7,"[0.         0.00517931 0.02932022 0.01957264 0.01386396 0.02365028
 0.         0.01773421 0.02617876]",goal2,goal2
goal2_sas_plan.15,0.1,1,0.03197813034057617,"[0.00403393 0.00942494 0.01937288 0.01335633 0.00544147 0.01409835
 0.00209443 0.00921006 0.00855119]",goal0,"[0.00403393 0.00942494 0.01937288 0.01335633 0.00544147 0.01409835
 0.00209443 0.00921006 0.00855119]",goal2,"[0.00530145 0.02270838 0.03380768 0.02145376 0.00292551 0.00097517
 0.         0.         0.        ]",goal2,goal2
goal2_sas_plan.16,0.1,1,0.05596303939819336,"[0.00226677 0.00873171 0.01794795 0.01237393 0.00504123 0.01306138
 0.00194038 0.01806324 0.01677103]",goal7,"[0.00226677 0.00873171 0.01794795 0.01237393 0.00504123 0.01306138
 0.00194038 0.01806324 0.01677103]",goal7,"[0.         0.00517931 0.02932022 0.01957264 0.01386396 0.02365028
 0.         0.01773421 0.02617876]",goal2,goal2
goal2_sas_plan.17,0.1,1,0.039972782135009766,"[0.00403393 0.00942494 0.01937288 0.01335633 0.00544147 0.01409835
 0.00209443 0.00921006 0.00855119]",goal0,"[0.00403393 0.00942494 0.01937288 0.01335633 0.00544147 0.01409835
 0.00209443 0.00921006 0.00855119]",goal2,"[0.00530145 0.02270838 0.03380768 0.02145376 0.00292551 0.00097517
 0.         0.         0.        ]",goal2,goal2
goal2_sas_plan.18,0.1,1,0.039971113204956055,"[0.00452567 0.01057386 0.01692692 0.01167001 0.00370279 0.00747154
 0.00234975 0.01033278 0.00959359]",goal0,"[0.00452567 0.01057386 0.01692692 0.01167001 0.00370279 0.00747154
 0.00234975 0.01033278 0.00959359]",goal2,"[0.01439085 0.01120767 0.00794134 0.00515397 0.         0.
 0.         0.         0.        ]",goal0,goal2
goal2_sas_plan.19,0.1,1,0.01598954200744629,"[0.00452567 0.01057386 0.01692692 0.01167001 0.00370279 0.00747154
 0.00234975 0.01033278 0.00959359]",goal0,"[0.00452567 0.01057386 0.01692692 0.01167001 0.00370279 0.00747154
 0.00234975 0.01033278 0.00959359]",goal2,"[0.01439085 0.01120767 0.00794134 0.00515397 0.         0.
 0.         0.         0.        ]",goal0,goal2
goal2_sas_plan.2,0.1,1,0.03197813034057617,"[0.00403393 0.00942494 0.01937288 0.01335633 0.00544147 0.01409835
 0.00209443 0.00921006 0.00855119]",goal0,"[0.00403393 0.00942494 0.01937288 0.01335633 0.00544147 0.01409835
 0.00209443 0.00921006 0.00855119]",goal2,"[0.00530145 0.02270838 0.03380768 0.02145376 0.00292551 0.00097517
 0.         0.         0.        ]",goal2,goal2
goal2_sas_plan.20,0.1,1,0.03997397422790527,"[0.00452567 0.01057386 0.01692692 0.01167001 0.00370279 0.00747154
 0.00234975 0.01033278 0.00959359]",goal0,"[0.00452567 0.01057386 0.01692692 0.01167001 0.00370279 0.00747154
 0.00234975 0.01033278 0.00959359]",goal2,"[0.01439085 0.01120767 0.00794134 0.00515397 0.         0.
 0.         0.         0.        ]",goal0,goal2
goal2_sas_plan.21,0.1,1,0.03997302055358887,"[0.00403393 0.00942494 0.01937288 0.01335633 0.00544147 0.01409835
 0.00209443 0.00921006 0.00855119]",goal0,"[0.00403393 0.00942494 0.01937288 0.01335633 0.00544147 0.01409835
 0.00209443 0.00921006 0.00855119]",goal2,"[0.00530145 0.02270838 0.03380768 0.02145376 0.00292551 0.00097517
 0.         0.         0.        ]",goal2,goal2
goal2_sas_plan.22,0.1,1,0.03997373580932617,"[0.00226677 0.00873171 0.01794795 0.01237393 0.00504123 0.01306138
 0.00194038 0.01806324 0.01677103]",goal7,"[0.00226677 0.00873171 0.01794795 0.01237393 0.00504123 0.01306138
 0.00194038 0.01806324 0.01677103]",goal7,"[0.         0.00517931 0.02932022 0.01957264 0.01386396 0.02365028
 0.         0.01773421 0.02617876]",goal2,goal2
goal2_sas_plan.23,0.1,1,0.03197836875915527,"[0.00226677 0.00873171 0.01794795 0.01237393 0.00504123 0.01306138
 0.00194038 0.01806324 0.01677103]",goal7,"[0.00226677 0.00873171 0.01794795 0.01237393 0.00504123 0.01306138
 0.00194038 0.01806324 0.01677103]",goal7,"[0.         0.00517931 0.02932022 0.01957264 0.01386396 0.02365028
 0.         0.01773421 0.02617876]",goal2,goal2
goal2_sas_plan.24,0.1,1,0.03997302055358887,"[0.00226677 0.00873171 0.01794795 0.01237393 0.00504123 0.01306138
 0.00194038 0.01806324 0.01677103]",goal7,"[0.00226677 0.00873171 0.01794795 0.01237393 0.00504123 0.01306138
 0.00194038 0.01806324 0.01677103]",goal7,"[0.         0.00517931 0.02932022 0.01957264 0.01386396 0.02365028
 0.         0.01773421 0.02617876]",goal2,goal2
goal2_sas_plan.25,0.1,1,0.03197789192199707,"[0.00403393 0.00942494 0.01937288 0.01335633 0.00544147 0.01409835
 0.00209443 0.00921006 0.00855119]",goal0,"[0.00403393 0.00942494 0.01937288 0.01335633 0.00544147 0.01409835
 0.00209443 0.00921006 0.00855119]",goal2,"[0.00530145 0.02270838 0.03380768 0.02145376 0.00292551 0.00097517
 0.         0.         0.        ]",goal2,goal2
goal2_sas_plan.26,0.1,1,0.04796743392944336,"[0.00452567 0.01057386 0.01692692 0.01167001 0.00370279 0.00747154
 0.00234975 0.01033278 0.00959359]",goal0,"[0.00452567 0.01057386 0.01692692 0.01167001 0.00370279 0.00747154
 0.00234975 0.01033278 0.00959359]",goal2,"[0.01439085 0.01120767 0.00794134 0.00515397 0.         0.
 0.         0.         0.        ]",goal0,goal2
goal2_sas_plan.27,0.1,1,0.02398395538330078,"[0.00403393 0.00942494 0.01937288 0.01335633 0.00544147 0.01409835
 0.00209443 0.00921006 0.00855119]",goal0,"[0.00403393 0.00942494 0.01937288 0.01335633 0.00544147 0.01409835
 0.00209443 0.00921006 0.00855119]",goal2,"[0.00530145 0.02270838 0.03380768 0.02145376 0.00292551 0.00097517
 0.         0.         0.        ]",goal2,goal2
goal2_sas_plan.28,0.1,1,0.03997230529785156,"[0.00226677 0.00873171 0.01794795 0.01237393 0.00504123 0.01306138
 0.00194038 0.01806324 0.01677103]",goal7,"[0.00226677 0.00873171 0.01794795 0.01237393 0.00504123 0.01306138
 0.00194038 0.01806324 0.01677103]",goal7,"[0.         0.00517931 0.02932022 0.01957264 0.01386396 0.02365028
 0.         0.01773421 0.02617876]",goal2,goal2
goal2_sas_plan.29,0.1,1,0.03197884559631348,"[0.00403393 0.00942494 0.01937288 0.01335633 0.00544147 0.01409835
 0.00209443 0.00921006 0.00855119]",goal0,"[0.00403393 0.00942494 0.01937288 0.01335633 0.00544147 0.01409835
 0.00209443 0.00921006 0.00855119]",goal2,"[0.00530145 0.02270838 0.03380768 0.02145376 0.00292551 0.00097517
 0.         0.         0.        ]",goal2,goal2
goal2_sas_plan.3,0.1,1,0.03997445106506348,"[0.00452567 0.01057386 0.01692692 0.01167001 0.00370279 0.00747154
 0.00234975 0.01033278 0.00959359]",goal0,"[0.00452567 0.01057386 0.01692692 0.01167001 0.00370279 0.00747154
 0.00234975 0.01033278 0.00959359]",goal2,"[0.01439085 0.01120767 0.00794134 0.00515397 0.         0.
 0.         0.         0.        ]",goal0,goal2
goal2_sas_plan.30,0.1,1,0.03197908401489258,"[0.00403393 0.00942494 0.01937288 0.01335633 0.00544147 0.01409835
 0.00209443 0.00921006 0.00855119]",goal0,"[0.00403393 0.00942494 0.01937288 0.01335633 0.00544147 0.01409835
 0.00209443 0.00921006 0.00855119]",goal2,"[0.00530145 0.02270838 0.03380768 0.02145376 0.00292551 0.00097517
 0.         0.         0.        ]",goal2,goal2
goal2_sas_plan.31,0.1,1,0.039972543716430664,"[0.00226677 0.00873171 0.01794795 0.01237393 0.00504123 0.01306138
 0.00194038 0.01806324 0.01677103]",goal7,"[0.00226677 0.00873171 0.01794795 0.01237393 0.00504123 0.01306138
 0.00194038 0.01806324 0.01677103]",goal7,"[0.         0.00517931 0.02932022 0.01957264 0.01386396 0.02365028
 0.         0.01773421 0.02617876]",goal2,goal2
goal2_sas_plan.32,0.1,1,0.03997206687927246,"[0.00403393 0.00942494 0.01937288 0.01335633 0.00544147 0.01409835
 0.00209443 0.00921006 0.00855119]",goal0,"[0.00403393 0.00942494 0.01937288 0.01335633 0.00544147 0.01409835
 0.00209443 0.00921006 0.00855119]",goal2,"[0.00530145 0.02270838 0.03380768 0.02145376 0.00292551 0.00097517
 0.         0.         0.        ]",goal2,goal2
goal2_sas_plan.33,0.1,1,0.031976938247680664,"[0.00226677 0.00873171 0.01794795 0.01237393 0.00504123 0.01306138
 0.00194038 0.01806324 0.01677103]",goal7,"[0.00226677 0.00873171 0.01794795 0.01237393 0.00504123 0.01306138
 0.00194038 0.01806324 0.01677103]",goal7,"[0.         0.00517931 0.02932022 0.01957264 0.01386396 0.02365028
 0.         0.01773421 0.02617876]",goal2,goal2
goal2_sas_plan.34,0.1,1,0.04796743392944336,"[0.00403393 0.00942494 0.01937288 0.01335633 0.00544147 0.01409835
 0.00209443 0.00921006 0.00855119]",goal0,"[0.00403393 0.00942494 0.01937288 0.01335633 0.00544147 0.01409835
 0.00209443 0.00921006 0.00855119]",goal2,"[0.00530145 0.02270838 0.03380768 0.02145376 0.00292551 0.00097517
 0.         0.         0.        ]",goal2,goal2
goal2_sas_plan.35,0.1,1,0.03997373580932617,"[0.00403393 0.00942494 0.01937288 0.01335633 0.00544147 0.01409835
 0.00209443 0.00921006 0.00855119]",goal0,"[0.00403393 0.00942494 0.01937288 0.01335633 0.00544147 0.01409835
 0.00209443 0.00921006 0.00855119]",goal2,"[0.00530145 0.02270838 0.03380768 0.02145376 0.00292551 0.00097517
 0.         0.         0.        ]",goal2,goal2
goal2_sas_plan.36,0.1,1,0.03997349739074707,"[0.00226677 0.00873171 0.01794795 0.01237393 0.00504123 0.01306138
 0.00194038 0.01806324 0.01677103]",goal7,"[0.00226677 0.00873171 0.01794795 0.01237393 0.00504123 0.01306138
 0.00194038 0.01806324 0.01677103]",goal7,"[0.         0.00517931 0.02932022 0.01957264 0.01386396 0.02365028
 0.         0.01773421 0.02617876]",goal2,goal2
goal2_sas_plan.37,0.1,1,0.03197884559631348,"[0.00403393 0.00942494 0.01937288 0.01335633 0.00544147 0.01409835
 0.00209443 0.00921006 0.00855119]",goal0,"[0.00403393 0.00942494 0.01937288 0.01335633 0.00544147 0.01409835
 0.00209443 0.00921006 0.00855119]",goal2,"[0.00530145 0.02270838 0.03380768 0.02145376 0.00292551 0.00097517
 0.         0.         0.        ]",goal2,goal2
goal2_sas_plan.38,0.1,1,0.04796743392944336,"[0.00226677 0.00873171 0.01794795 0.01237393 0.00504123 0.01306138
 0.00194038 0.01806324 0.01677103]",goal7,"[0.00226677 0.00873171 0.01794795 0.01237393 0.00504123 0.01306138
 0.00194038 0.01806324 0.01677103]",goal7,"[0.         0.00517931 0.02932022 0.01957264 0.01386396 0.02365028
 0.         0.01773421 0.02617876]",goal2,goal2
goal2_sas_plan.39,0.1,1,0.03197884559631348,"[0.00452567 0.01057386 0.01692692 0.01167001 0.00370279 0.00747154
 0.00234975 0.01033278 0.00959359]",goal0,"[0.00452567 0.01057386 0.01692692 0.01167001 0.00370279 0.00747154
 0.00234975 0.01033278 0.00959359]",goal2,"[0.01439085 0.01120767 0.00794134 0.00515397 0.         0.
 0.         0.         0.        ]",goal0,goal2
goal2_sas_plan.4,0.1,1,0.039972543716430664,"[0.00226677 0.00873171 0.01794795 0.01237393 0.00504123 0.01306138
 0.00194038 0.01806324 0.01677103]",goal7,"[0.00226677 0.00873171 0.01794795 0.01237393 0.00504123 0.01306138
 0.00194038 0.01806324 0.01677103]",goal7,"[0.         0.00517931 0.02932022 0.01957264 0.01386396 0.02365028
 0.         0.01773421 0.02617876]",goal2,goal2
goal2_sas_plan.40,0.1,1,0.03197956085205078,"[0.00403393 0.00942494 0.01937288 0.01335633 0.00544147 0.01409835
 0.00209443 0.00921006 0.00855119]",goal0,"[0.00403393 0.00942494 0.01937288 0.01335633 0.00544147 0.01409835
 0.00209443 0.00921006 0.00855119]",goal2,"[0.00530145 0.02270838 0.03380768 0.02145376 0.00292551 0.00097517
 0.         0.         0.        ]",goal2,goal2
goal2_sas_plan.5,0.1,1,0.039972782135009766,"[0.00403393 0.00942494 0.01937288 0.01335633 0.00544147 0.01409835
 0.00209443 0.00921006 0.00855119]",goal0,"[0.00403393 0.00942494 0.01937288 0.01335633 0.00544147 0.01409835
 0.00209443 0.00921006 0.00855119]",goal2,"[0.00530145 0.02270838 0.03380768 0.02145376 0.00292551 0.00097517
 0.         0.         0.        ]",goal2,goal2
goal2_sas_plan.6,0.1,1,0.039972543716430664,"[0.00403393 0.00942494 0.01937288 0.01335633 0.00544147 0.01409835
 0.00209443 0.00921006 0.00855119]",goal0,"[0.00403393 0.00942494 0.01937288 0.01335633 0.00544147 0.01409835
 0.00209443 0.00921006 0.00855119]",goal2,"[0.00530145 0.02270838 0.03380768 0.02145376 0.00292551 0.00097517
 0.         0.         0.        ]",goal2,goal2
goal2_sas_plan.7,0.1,1,0.039971351623535156,"[0.00403393 0.00942494 0.01937288 0.01335633 0.00544147 0.01409835
 0.00209443 0.00921006 0.00855119]",goal0,"[0.00403393 0.00942494 0.01937288 0.01335633 0.00544147 0.01409835
 0.00209443 0.00921006 0.00855119]",goal2,"[0.00530145 0.02270838 0.03380768 0.02145376 0.00292551 0.00097517
 0.         0.         0.        ]",goal2,goal2
goal2_sas_plan.8,0.1,1,0.03197908401489258,"[0.00403393 0.00942494 0.01937288 0.01335633 0.00544147 0.01409835
 0.00209443 0.00921006 0.00855119]",goal0,"[0.00403393 0.00942494 0.01937288 0.01335633 0.00544147 0.01409835
 0.00209443 0.00921006 0.00855119]",goal2,"[0.00530145 0.02270838 0.03380768 0.02145376 0.00292551 0.00097517
 0.         0.         0.        ]",goal2,goal2
goal2_sas_plan.9,0.1,1,0.02398395538330078,"[0.00403393 0.00942494 0.01937288 0.01335633 0.00544147 0.01409835
 0.00209443 0.00921006 0.00855119]",goal0,"[0.00403393 0.00942494 0.01937288 0.01335633 0.00544147 0.01409835
 0.00209443 0.00921006 0.00855119]",goal2,"[0.00530145 0.02270838 0.03380768 0.02145376 0.00292551 0.00097517
 0.         0.         0.        ]",goal2,goal2
goal3_sas_plan.0,0.1,1,0.047966957092285156,"[0.00403393 0.00942494 0.01937288 0.01335633 0.00544147 0.01409835
 0.00209443 0.00921006 0.00855119]",goal0,"[0.00403393 0.00942494 0.01937288 0.01335633 0.00544147 0.01409835
 0.00209443 0.00921006 0.00855119]",goal2,"[0.00530145 0.02270838 0.03380768 0.02145376 0.00292551 0.00097517
 0.         0.         0.        ]",goal2,goal3
goal3_sas_plan.1,0.1,1,0.031978607177734375,"[0.00403393 0.00942494 0.01937288 0.01335633 0.00544147 0.01409835
 0.00209443 0.00921006 0.00855119]",goal0,"[0.00403393 0.00942494 0.01937288 0.01335633 0.00544147 0.01409835
 0.00209443 0.00921006 0.00855119]",goal2,"[0.00530145 0.02270838 0.03380768 0.02145376 0.00292551 0.00097517
 0.         0.         0.        ]",goal2,goal3
goal3_sas_plan.10,0.1,1,0.04796719551086426,"[0.00403393 0.00942494 0.01937288 0.01335633 0.00544147 0.01409835
 0.00209443 0.00921006 0.00855119]",goal0,"[0.00403393 0.00942494 0.01937288 0.01335633 0.00544147 0.01409835
 0.00209443 0.00921006 0.00855119]",goal2,"[0.00530145 0.02270838 0.03380768 0.02145376 0.00292551 0.00097517
 0.         0.         0.        ]",goal2,goal3
goal3_sas_plan.11,0.1,2,0.06395697593688965,"[0.00186171 0.00434972 0.01892734 0.01675535 0.00682625 0.01768621
 0.00159364 0.01904893 0.0227094 ]",goal7,"[0.00186171 0.00434972 0.01892734 0.01675535 0.00682625 0.01768621
 0.00159364 0.01904893 0.0227094 ]",goal8,"[0.         0.         0.00604771 0.02419084 0.03225445 0.03023855
 0.         0.00853517 0.02329609]",goal4,goal3
goal3_sas_plan.12,0.1,2,0.03997325897216797,"[0.00186171 0.00434972 0.01892734 0.01675535 0.00682625 0.01768621
 0.00159364 0.01904893 0.0227094 ]",goal7,"[0.00186171 0.00434972 0.01892734 0.01675535 0.00682625 0.01768621
 0.00159364 0.01904893 0.0227094 ]",goal8,"[0.         0.         0.00604771 0.02419084 0.03225445 0.03023855
 0.         0.00853517 0.02329609]",goal4,goal3
goal3_sas_plan.13,0.1,2,0.06395554542541504,"[0.0020131  0.01278496 0.02627936 0.0181179  0.00447708 0.01912445
 0.00172324 0.00757777 0.01159971]",goal1,"[0.0020131  0.01278496 0.02627936 0.0181179  0.00447708 0.01912445
 0.00172324 0.00757777 0.01159971]",goal2,"[0.         0.01950342 0.09069337 0.03070979 0.         0.00614196
 0.         0.         0.        ]",goal2,goal3
goal3_sas_plan.14,0.1,1,0.03197836875915527,"[0.00226677 0.00873171 0.01794795 0.01237393 0.00504123 0.01306138
 0.00194038 0.01806324 0.01677103]",goal7,"[0.00226677 0.00873171 0.01794795 0.01237393 0.00504123 0.01306138
 0.00194038 0.01806324 0.01677103]",goal7,"[0.         0.00517931 0.02932022 0.01957264 0.01386396 0.02365028
 0.         0.01773421 0.02617876]",goal2,goal3
goal3_sas_plan.15,0.1,1,0.06395745277404785,"[0.00403393 0.00942494 0.01937288 0.01335633 0.00544147 0.01409835
 0.00209443 0.00921006 0.00855119]",goal0,"[0.00403393 0.00942494 0.01937288 0.01335633 0.00544147 0.01409835
 0.00209443 0.00921006 0.00855119]",goal2,"[0.00530145 0.02270838 0.03380768 0.02145376 0.00292551 0.00097517
 0.         0.         0.        ]",goal2,goal3
goal3_sas_plan.16,0.1,2,0.055960893630981445,"[0.00186171 0.00434972 0.01892734 0.01675535 0.00682625 0.01768621
 0.00159364 0.01904893 0.0227094 ]",goal7,"[0.00186171 0.00434972 0.01892734 0.01675535 0.00682625 0.01768621
 0.00159364 0.01904893 0.0227094 ]",goal8,"[0.         0.         0.00604771 0.02419084 0.03225445 0.03023855
 0.         0.00853517 0.02329609]",goal4,goal3
